"su_su_no","plot_plot_no","_csp_tree_position","small_tree_species_code","small_tree_species_scientific_name","small_tree_species_vernacular_name","csp1_tree_csp1_tree_lucs","csp1_tree_csp1_tree_total","csp2_tree_csp2_tree_lucs","csp2_tree_csp2_tree_total","csp3_tree_csp3_tree_lucs","csp3_tree_csp3_tree_total"
"0928","3","1","ACA/SEN","Acacia senegal","","","","1","12","",""
"0928","3","2","ACA/SEN","Acacia senegal","","","","","","1","1"
"0928","4","1","BAL/AEG","Balanites aegyptiaca","","","","1","2","",""
"0689","4","1","BAU/TOM","Bauhinia tomentosa","","1","6","","","",""
"0692","2","1","ACA/SEY/SEY","Acacia seyal var. seyal","","1","1","","","",""
"0692","3","1","ACA/SEY/SEY","Acacia seyal var. seyal","","1","2","","","",""
"0692","3","2","BAL/AEG","Balanites aegyptiaca","","1","1","","","",""
"0692","3","3","BAL/AEG","Balanites aegyptiaca","","","","1","1","",""
"0692","3","4","ACA/SEY/SEY","Acacia seyal var. seyal","","","","","","1","2"
"0692","4","1","BAL/AEG","Balanites aegyptiaca","","1","3","","","",""
"0692","1","1","ACA/SEY/SEY","Acacia seyal var. seyal","","1","2","","","",""
"0692","1","2","ACA/SEY/SEY","Acacia seyal var. seyal","","","","","","1","1"
"0902","4","1","BAL/AEG","Balanites aegyptiaca","","1","1","","","",""
"0902","4","2","ACA/SEY/SEY","Acacia seyal var. seyal","","","","1","2","",""
"0902","4","3","DIC/CIN","Dichrostachys cinerea","","","","1","1","",""
"0902","4","4","ZIZ/SPI","Ziziphus spina-christi","","","","","","1","1"
"0902","1","1","DIC/CIN","Dichrostachys cinerea","","1","1","","","",""
"0902","1","2","BAU","Bauhinia sp.","","","","","","1","1"
"0645","1","1","ACA/NIL/NIL","Acacia nilotica subsp. nilotica","","","","1","5","",""
"0645","4","1","GUI/SEN","Guiera senegalensis","","1","2","","","",""
"0645","4","2","GUI/SEN","Guiera senegalensis","","","","1","4","",""
"0978","1","1","COM/ACU","Combretum aculeatum","","","","1","1","",""
"0978","1","2","ANO/LEI","Anogeissus leiocarpus","","","","","","1","1"
"0978","2","1","COM/ACU","Combretum aculeatum","","1","1","","","",""
"0978","2","2","LAN/FRU","Lannea fruticosa","","","","1","1","",""
"0978","3","1","COM/ACU","Combretum aculeatum","","","","","","1","1"
"0953","2","1","ACA/SEY/SEY","Acacia seyal var. seyal","","","","1","2","",""
"0953","2","2","BAU","Bauhinia sp.","","","","1","1","",""
"0953","2","3","COM/ACU","Combretum aculeatum","","","","1","1","",""
"0953","1","1","BAU","Bauhinia sp.","","1","1","","","",""
"0622","1","1","DIC/CIN","Dichrostachys cinerea","","","","1","17","",""
"0622","1","2","ACA/POL/COM","Acacia polyacantha subsp. campylacantha","","","","","","1","1"
"0622","2","1","ZIZ/SPI/MIC","Ziziphus spina-christi var. microphylla","","","","1","1","",""
