"su_su_no","plot_plot_no","lucs_lucs_no","_environmental_problem_position","environmental_problem_category","environmental_problem_category_qualifier","environmental_problem_severity","environmental_problem_trend"
"0434","1","1","1","0","None identified","1","2"
"0434","2","1","1","0","None identified","1","2"
"0434","2","2","1","0","None identified","2","2"
"0434","3","1","1","0","None identified","1","2"
"0434","4","1","1","0","None identified","1","2"
"0928","4","1","1","0","None identified","1","90"
"0689","1","1","1","0","None identified","1","90"
"0689","2","1","1","0","None identified","1","90"
"0689","3","1","1","0","None identified","1","90"
"0689","4","1","1","0","None identified","1","90"
"0695","1","1","1","13","Uncontrolled burning","2","90"
"0695","2","1","1","0","None identified","2","2"
"0695","3","1","1","0","None identified","1","2"
"0695","4","1","1","0","None identified","2","2"
"0543","1","1","1","11","Dust storm","2","3"
"0543","2","1","1","11","Dust storm","2","3"
"0543","3","1","1","0","None identified","1","2"
"0543","4","1","1","0","None identified","1","2"
"0960","1","1","1","0","None identified","1","2"
"0960","2","1","1","0","None identified","2","2"
"0960","3","1","1","0","None identified","2","2"
"0960","4","1","1","0","None identified","2","2"
"0797","1","1","1","0","None identified","1","2"
"0797","2","1","1","15","Wind fall, wind blow","1","2"
"0797","3","1","1","8","Erosion","1","2"
"0797","4","1","1","8","Erosion","2","2"
"0433","1","1","1","8","Erosion","3","2"
"0433","2","1","1","8","Erosion","2","2"
"0433","2","2","1","8","Erosion","2","2"
"0433","3","1","1","8","Erosion","2","2"
"0433","3","2","1","8","Erosion","2","2"
"0433","4","1","1","8","Erosion","2","2"
"0645","1","1","1","0","None identified","1","90"
"0645","2","1","1","0","None identified","1","90"
"0645","3","1","1","0","None identified","1","90"
"0645","4","1","1","0","None identified","1","90"
"0978","1","1","1","0","None identified","2","2"
"0978","2","1","1","0","None identified","2","2"
"0978","3","1","1","0","None identified","2","2"
"0978","4","1","1","0","None identified","1","2"
"0953","2","1","1","0","None identified","2","2"
"0953","3","1","1","0","None identified","1","2"
"0953","4","1","1","0","None identified","2","2"
"0953","1","1","1","0","None identified","2","1"
"0622","1","1","1","0","None identified","1","2"
"0622","2","1","1","0","None identified","2","2"
"0622","3","1","1","0","None identified","2","2"
"0622","4","1","1","0","None identified","2","2"
"0799","2","1","1","0","None identified","1","2"
"0799","3","1","1","0","None identified","1","90"
"0799","4","1","1","0","None identified","1","1"
"0799","1","1","1","0","None identified","1","90"
"0910","3","1","1","16","Overexploiting resources","2","2"
"0910","3","1","2","17","Overgrazing","2","2"
"0910","4","1","1","16","Overexploiting resources","2","2"
"0871","1","1","1","0","None identified","1","2"
"0871","3","1","1","0","None identified","3","2"
"0871","4","1","1","0","None identified","1","2"
"0613","1","1","1","0","None identified","1","2"
"0613","2","1","1","0","None identified","2","2"
"0613","3","1","1","0","None identified","1","90"
