"su_su_no","plot_plot_no","_fdt_position","fdt_no","fdt_lucs","fdt_diameter","fdt_diameter_unit_name","fdt_decomposition_status"
"0434","2","1","1","1","3.0","","1"
"0434","2","2","1","1","3.5","","1"
"0434","2","3","1","1","4.0","","2"
"0434","2","4","3","2","4.0","","1"
"0434","3","1","1","1","5.0","","1"
"0434","3","2","2","1","4.0","","1"
"0434","3","3","2","1","3.0","","1"
"0434","3","4","2","1","4.0","","1"
"0434","3","5","2","1","3.5","","1"
"0434","3","6","3","1","6.0","","1"
"0928","4","1","1","1","3.0","","1"
"0928","4","2","1","1","5.0","","1"
"0928","4","3","1","1","7.0","","1"
"0689","3","1","2","1","5.0","","2"
"0689","3","2","2","1","3.0","","2"
"0689","4","1","1","1","29.0","","1"
"0689","4","2","1","1","9.0","","2"
"0692","4","1","1","1","5.0","","2"
"0692","4","2","1","1","5.0","","2"
"0797","1","1","3","1","4.0","","2"
"0797","1","2","3","1","3.0","","2"
"0797","4","1","2","1","3.0","","1"
"0902","4","1","3","1","7.0","","1"
"0902","4","2","3","1","4.0","","1"
"0902","4","3","3","1","7.0","","1"
"0433","1","1","1","1","6.0","","1"
"0645","3","1","2","1","4.0","","1"
"0645","3","2","1","1","11.0","","1"
"0645","3","3","1","1","5.0","","1"
"0978","1","1","2","1","5.0","","1"
"0978","1","2","2","1","7.0","","1"
"0978","1","3","3","1","3.0","","1"
"0978","2","1","1","1","3.0","","1"
"0978","2","2","1","1","4.0","","1"
"0978","3","1","1","1","5.0","","1"
"0978","3","2","1","1","4.0","","1"
"0978","3","3","1","1","8.0","","1"
"0953","2","1","3","1","3.0","","1"
"0799","3","1","3","1","4.0","","1"
"0910","3","1","1","1","6.0","","1"
"0871","1","1","1","1","5.0","","1"
"0871","1","2","2","1","12.0","","2"
"0871","1","3","2","1","11.0","","2"
"0871","1","4","2","1","4.0","","2"
"0871","1","5","3","1","4.0","","1"
"0871","2","1","2","1","9.0","","2"
"0871","2","2","2","1","9.0","","1"
"0871","2","3","2","1","13.0","","2"
"0871","2","4","2","1","16.0","","2"
"0871","3","1","2","1","5.0","","1"
"0871","4","1","2","1","7.0","","1"
"0871","4","2","3","1","3.0","","1"
"0871","4","3","3","1","7.0","","1"
"0871","4","4","3","1","11.0","","1"
"0871","4","5","3","1","7.0","","1"
"0871","4","6","3","1","7.0","","1"
"0613","1","1","1","1","3.0","","1"
"0613","1","2","2","1","14.0","","1"
"0613","2","1","1","1","5.0","","1"
"0613","2","2","3","1","14.0","","1"
"0613","4","1","1","1","5.0","","1"
"0613","4","2","1","1","6.0","","1"
"0613","4","3","3","1","5.0","","1"
"0640","1","1","3","1","3.0","","2"
"0640","2","1","3","1","9.0","","1"
"0640","2","2","3","1","4.0","","2"
"0640","3","1","1","1","4.0","","1"
"0640","4","1","2","1","3.0","","2"
"0435","1","1","2","1","3.0","","1"
"0435","2","1","2","1","3.0","","1"
"0435","3","1","1","1","5.0","","1"
"0518","1","1","1","1","0.0","",""
"0518","1","2","2","1","0.0","",""
"0518","1","3","3","1","0.0","",""
"0518","2","1","1","1","5.0","","1"
"0518","2","2","1","1","3.0","","2"
"0518","2","3","2","1","5.0","","2"
"0518","2","4","2","1","4.0","","2"
"0518","2","5","3","1","4.0","","2"
"0518","3","1","3","1","6.0","","2"
"0518","4","1","1","1","2.5","","2"
"0518","4","2","1","1","6.0","","2"
"0518","4","3","2","1","2.5","","1"
"0518","4","4","3","1","3.0","","2"
"0614","2","1","2","1","3.0","","1"
"0614","2","2","2","1","3.0","","1"
"0614","2","3","3","1","7.0","","2"
"0614","3","1","2","1","8.0","","2"
"0614","3","2","2","1","24.0","","2"
"0615","3","1","2","1","14.0","","1"
"0615","3","2","2","1","10.0","","1"
"0615","3","3","2","1","8.0","","1"
"0615","4","1","3","1","5.0","","1"
"0615","2","1","1","1","9.0","","2"
"0615","2","2","2","1","5.0","","1"
"0615","2","3","3","1","7.0","","1"
"0557","2","1","1","1","2.5","","1"
"0557","2","2","2","1","4.0","","2"
"0557","2","3","3","1","2.5","","2"
"0557","3","1","1","1","4.0","","1"
"0557","3","2","1","1","8.0","","2"
"0557","3","3","2","1","4.5","","1"
"0557","3","4","3","1","2.5","","1"
"0557","4","1","1","1","5.0","","1"
"0557","4","2","3","1","3.0","","2"
"0557","4","3","3","1","3.0","","2"
"0557","4","4","3","1","3.5","","2"
"0557","1","1","3","1","3.5","","2"
"0557","1","2","3","1","5.0","","1"
"0557","1","3","3","1","4.5","","2"
"0445","1","1","2","1","3.0","","2"
"0445","1","2","2","1","3.0","","2"
"0445","1","3","2","","2.5","","2"
"0432","1","1","1","1","3.0","","1"
"0901","3","1","2","1","12.0","","1"
"0901","3","2","3","1","4.0","","1"
"0901","4","1","2","1","8.0","","2"
"0901","1","1","1","1","5.0","","2"
