"su_su_no","lucc_code","lucc_interview_no","lucc_information_source","lucc_interviewees","land_use_cover_change_details_lucc_conversion","land_use_cover_change_details_to_lucc","land_use_cover_change_details_conversion_reason","land_use_cover_change_details_conversion_reason_qualifier","lucc_notes"
"0434","OCA","1","1","1","2","","1","",""
"0434","WG","1","1","1","2","","2","",""
"0695","FSD","","","","","","","",""
"0543","OCA","1","1","1","","","","",""
"0960","FSD","1","1","1","2","","3","",""
"0797","WG","1","1","1","1","","8","","Some of them it's pasturalist"
"0433","WG","1","1","1","2","","0","",""
"0978","FSD","","","","","","","",""
"0953","FSD","1","1","1","","","","",""
"0622","OCA","1","1","1","","","","",""
"0799","OB","1","1","1","","","","",""
"0799","OCA","1","1","1","","","","",""
"0613","FSD","1","1","1","","","","",""
"0522","OCA","1","1","1","","","","",""
"0567","OCA","1","1","1","","","","",""
"0435","OCA","1","1","1","2","","","",""
"0518","FSD","1","1","1","2","","0","",""
"0558","OCA","1","1","1","2","","10","",""
"0614","FD","1","1","1","","","","",""
"0615","FSD","","","","","","","",""
"0557","FD","1","1","1","1","","0","",""
"0535","OB","1","1","1","","","","","Area  of the SU  is occupied  by house of settlers  of the villege"
"0825","OCA","1","1","1","","","","",""
"0594","OCA","1","1","1","","","","",""
"0445","WG","1","1","1","0","WG","0","",""
"0445","OCA","1","1","1","","","","",""
"0432","WG","1","1","1","2","","0","",""
"0901","FSD","1","1","1","","","","",""
"0899","WG","1","1","1","0","","","",""
"0559","F","1","1","1","2","","0","",""
"0879","OCA","1","1","1","3","","90","",""
"0783","WG","1","1","1","","","","",""
"0803","OCA","1","1","1","","","","",""
"0519","WG","1","1","1","","","","",""
"0519","OCA","1","1","1","","","","",""
