"su_su_no","plot_plot_no","mp_no","mp_lucs_no","slope","slope_unit_name","slope_orientation","slope_orientation_unit_name","relief","relief_qualifier","mp_photo_no","mp_photo_bearing","mp_photo_bearing_unit_name","organic_layer_thickness","organic_layer_thickness_unit_name","soil_drainage"
"0434","1","1","1","0.5","","0.0","","8","","1","0.0","","0.0","","3"
"0434","1","2","1","0.3","","0.0","","8","","2","0.0","","0.0","","3"
"0434","1","3","1","1.0","","180.0","","8","","3","180.0","","3.0","","3"
"0434","2","1","1","1.7","","90.0","","8","","1","90.0","","0.0","","3"
"0434","2","2","1","1.5","","90.0","","8","","2","90.0","","0.0","","3"
"0434","2","3","2","2.0","","270.0","","8","","3","270.0","","0.0","","3"
"0434","3","1","1","0.7","","180.0","","8","","1","180.0","","2.0","","3"
"0434","3","2","1","1.8","","180.0","","8","","2","180.0","","2.0","","3"
"0434","3","3","1","2.0","","0.0","","8","","3","0.0","","1.0","","3"
"0434","4","1","1","1.3","","270.0","","8","","1","270.0","","0.0","","3"
"0434","4","2","1","0.5","","270.0","","8","","2","270.0","","0.0","","3"
"0434","4","3","1","2.8","","90.0","","8","","3","90.0","","0.0","","3"
"0928","1","1","1","2.0","","0.0","","8","","1","0.0","","5.0","","3"
"0928","1","2","1","2.5","","0.0","","8","","2","0.0","","2.0","","4"
"0928","1","3","1","6.1","","270.0","","8","","3","270.0","","3.0","","3"
"0928","2","1","1","4.2","","120.0","","8","","1","120.0","","5.0","","3"
"0928","2","2","1","5.5","","270.0","","8","","2","270.0","","4.0","","3"
"0928","2","3","1","3.4","","90.0","","8","","3","90.0","","1.0","","3"
"0928","3","1","1","0.4","","200.0","","8","","1","200.0","","5.0","","3"
"0928","3","2","1","6.9","","30.0","","8","","2","30.0","","11.0","","3"
"0928","3","3","1","5.7","","140.0","","8","","3","140.0","","2.0","","3"
"0928","4","1","1","1.2","","270.0","","8","","1","270.0","","2.0","","3"
"0928","4","2","1","2.4","","30.0","","8","","2","30.0","","4.0","","3"
"0928","4","3","1","5.7","","90.0","","8","","3","90.0","","1.0","","3"
"0689","1","1","1","0.5","","0.0","","8","","1","0.0","","1.0","","3"
"0689","1","2","1","1.8","","0.0","","8","","2","0.0","","5.0","","3"
"0689","1","3","1","8.9","","270.0","","8","","3","270.0","","4.0","","3"
"0689","2","1","1","1.5","","270.0","","8","","1","270.0","","6.0","","3"
"0689","2","2","1","1.9","","270.0","","8","","2","270.0","","6.0","","3"
"0689","2","3","1","2.9","","270.0","","8","","3","270.0","","3.0","","3"
"0689","3","1","1","0.8","","180.0","","8","","1","180.0","","3.0","","3"
"0689","3","2","1","0.7","","180.0","","8","","2","180.0","","4.0","","3"
"0689","3","3","1","3.1","","300.0","","8","","3","300.0","","10.0","","3"
"0689","4","1","1","1.0","","220.0","","8","","1","220.0","","5.0","","3"
"0689","4","2","1","10.0","","180.0","","8","","2","180.0","","4.0","","3"
"0689","4","3","1","2.7","","180.0","","8","","3","180.0","","8.0","","3"
"0692","2","1","1","1.7","","90.0","","8","","1","90.0","","10.0","","3"
"0692","2","2","1","4.5","","90.0","","8","","2","90.0","","10.0","","2"
"0692","2","3","1","2.8","","270.0","","8","","3","270.0","","5.0","","2"
"0692","3","1","1","1.5","","180.0","","8","","1","180.0","","5.0","","2"
"0692","3","2","1","2.3","","180.0","","8","","2","180.0","","5.0","","2"
"0692","3","3","1","1.0","","180.0","","8","","3","180.0","","10.0","","2"
"0692","4","1","1","1.7","","270.0","","8","","1","270.0","","5.0","","2"
"0692","4","2","1","2.6","","90.0","","8","","2","90.0","","4.0","","2"
"0692","4","3","1","1.6","","90.0","","8","","3","90.0","","2.0","","3"
"0692","1","1","1","2.0","","0.0","","8","","1","0.0","","9.0","","2"
"0692","1","2","1","1.7","","0.0","","8","","2","0.0","","12.0","","2"
"0692","1","3","1","3.0","","180.0","","8","","3","180.0","","8.0","","2"
"0695","1","1","1","5.8","","90.0","","3","","1","90.0","","1.0","","3"
"0695","1","2","1","7.6","","180.0","","3","","2","180.0","","5.0","","3"
"0695","1","3","1","13.7","","90.0","","3","","3","90.0","","6.0","","3"
"0695","2","1","1","19.0","","90.0","","8","","1","90.0","","5.0","","3"
"0695","2","2","1","9.5","","160.0","","8","","2","160.0","","74.0","","3"
"0695","2","3","1","10.2","","90.0","","7","","3","90.0","","6.0","","2"
"0695","3","1","","","","","","","","1","","","","",""
"0695","3","2","","","","","","","","2","","","","",""
"0695","3","3","1","19.5","","90.0","","3","","3","90.0","","3.0","","3"
"0695","4","1","1","23.1","","270.0","","3","","1","270.0","","5.0","","3"
"0695","4","2","1","9.0","","270.0","","3","","2","270.0","","5.0","","3"
"0695","4","3","1","8.9","","90.0","","3","","3","90.0","","1.0","","3"
"0543","1","1","1","4.8","","0.0","","8","","1","0.0","","1.0","","3"
