"su_su_no","plot_plot_no","lucs_lucs_no","lucs_photo_no","photo_lucs_description","photo_lucs_location_srs","photo_lucs_location_x","photo_lucs_location_y","photo_lucs_bearing","photo_lucs_bearing_unit_name","lucs_photo"
"0434","1","1","135743","OCA","EPSG:32635","606497.396550496","1372654.3504148","0","","29826_255.jpg"
"0434","2","1","143521","OCA","EPSG:32635","606495.977780052","1373153.59618125","90","","29826_486.jpg"
"0434","2","2","150244","W G","EPSG:32635","606742.86784884","1373145.35104676","270","","29826_600.jpg"
"0434","3","1","152141","Wooded grassland","EPSG:32635","607004.367760545","1373143.0196708","180","","29826_830.jpg"
"0434","4","1","160118","OCA","EPSG:32635","606998.705825824","1372646.42641685","270","","29826_1067.jpg"
"0928","1","1","1","Lucs","EPSG:32635","565427.84418104","1181430.55351625","0","","38596_286.jpg"
"0928","1","1","2","Lus","EPSG:32635","565440.290867236","1181545.08016968","0","","38596_426.jpg"
"0928","2","1","1","Land use","EPSG:32635","565432.764616528","1181916.17719263","90","","38596_704.jpg"
"0928","2","1","2","Lus","EPSG:32635","565671.982022879","1181915.36402802","270","","38596_2084.jpg"
"0928","3","1","1","Lus","EPSG:32635","565927.552834599","1181869.06213143","180","","38596_2275.jpg"
"0928","4","1","1","Land use","EPSG:32635","565927.064669161","1181424.04457271","270","","38596_3231.jpg"
"0928","4","1","2","Landuse","EPSG:32635","565700.080329883","1181428.45188068","90","","38596_3485.jpg"
"0689","1","1","1","Land use","EPSG:32635","628703.771138778","1124593.03692706","0","","51844_239.jpg"
"0689","1","1","2","Landuse","EPSG:32635","628699.434950047","1124827.72596505","180","","51844_1268.jpg"
"0689","2","1","1","Land use","EPSG:32635","628711.399657568","1125093.26977208","90","","51844_1453.jpg"
"0689","2","1","2","Lus","EPSG:32635","628837.509236556","1125091.93572277","90","","51844_2080.jpg"
"0689","3","1","1","Land use","EPSG:32635","629211.45686442","1125078.56563215","180","","51844_2575.jpg"
"0689","3","1","2","LAND USE","EPSG:32635","629200.215011369","1124969.4630804","180","","51844_2953.jpg"
"0689","3","1","3","Land use","EPSG:32635","629215.308295492","1124851.21885944","0","","51844_3213.jpg"
"0689","4","1","1","Land use","EPSG:32635","629201.495063432","1124574.66378424","270","","51844_3367.jpg"
"0692","2","1","1","Land use","EPSG:32635","754949.265550819","1125959.05871605","90","","62212_250.jpg"
"0692","2","1","2","Land use","EPSG:32635","755179.808972274","1125950.29257051","270","","62212_1373.jpg"
"0692","3","1","1","Land use","EPSG:32635","755448.355030307","1125953.73846593","180","","62212_1549.jpg"
"0692","4","1","1","Land use","EPSG:32635","755452.404871224","1125448.34349646","270","","62212_3044.jpg"
"0692","1","1","1","Land use","EPSG:32635","754950.42015651","1125457.65179407","0","","62212_3373.jpg"
"0692","1","1","2","Land use","EPSG:32635","754951.00999683","1125583.15239627","0","","62212_3379.jpg"
"0692","1","1","3","Land use","EPSG:32635","754961.135325554","1125711.2370986","180","","62212_3408.jpg"
