"su_su_no","plot_no","plot_access_plot_location_given_srs","plot_access_plot_location_given_x","plot_access_plot_location_given_y","plot_access_plot_starting_position_srs","plot_access_plot_starting_position_x","plot_access_plot_starting_position_y","plot_access_plot_start_time_hour","plot_access_plot_start_time_minute","plot_access_plot_end_time_hour","plot_access_plot_end_time_minute","time_work_within_plot_day_1_date_day_1_year","time_work_within_plot_day_1_date_day_1_month","time_work_within_plot_day_1_date_day_1_day","time_work_within_plot_day_1_plot_start_time_d1_hour","time_work_within_plot_day_1_plot_start_time_d1_minute","time_work_within_plot_day_1_plot_end_time_d1_hour","time_work_within_plot_day_1_plot_end_time_d1_minute","time_work_within_plot_day_2_date_day_2_year","time_work_within_plot_day_2_date_day_2_month","time_work_within_plot_day_2_date_day_2_day","time_work_within_plot_day_2_plot_start_time_d2_hour","time_work_within_plot_day_2_plot_start_time_d2_minute","time_work_within_plot_day_2_plot_end_time_d2_hour","time_work_within_plot_day_2_plot_end_time_d2_minute","middle_point_plot_middle_point_srs","middle_point_plot_middle_point_x","middle_point_plot_middle_point_y","plot_notes","plot_plan_plot_end_point_srs","plot_plan_plot_end_point_x","plot_plan_plot_end_point_y","plot_plan_plot_plan_scan","plot_plan_total_lucs_found","tree_notes","csp_tree_notes","rsp_shrub_notes","fallen_deadwood_notes","subplots_notes"
"0434","1","EPSG:32635","606499.0","1372652.0","EPSG:32635","606496.097544312","1372650.23859151","12","30","12","36","2017","12","15","12","37","13","24","","","","","","","","EPSG:32635","606504.620903025","1372770.54404402","","EPSG:32635","606497.935768552","1372897.95066153","29826_125.jpg","2","","No small trees to measure in Csp1 , CSP2AND Csp3","No shrubs and bushes to measure in Rsp1 , RSP2","No fallen dead wood in FDT1, FDT2 and FDT3",""
"0434","2","EPSG:32635","606499.0","1373152.0","EPSG:32635","606499.505506087","1373150.9569569","13","25","13","31","2017","12","15","13","32","14","10","","","","","","","","EPSG:32635","606622.534583208","1373151.56144867","","EPSG:32635","606746.727149194","1373143.24982477","29826_356.jpg","3","Tree number one it's have two branches more than 20 cm.","No small trees to measure in Csp1, CSP2AND Csp3","No shrub and bushes in Rsp1 , RSP2AND","No fallen dead wood in FDT2",""
"0434","3","EPSG:32635","606999.0","1373152.0","EPSG:32635","606995.150975533","1373152.6951487","14","10","14","18","2017","12","15","14","18","15","51","","","","","","","","EPSG:32635","606996.892617597","1373031.06919256","","EPSG:32635","607002.18236986","1372901.37740166","29826_700.jpg","2","No tree to measure only shrub and bushes  ( Calatrobis procera- Leptedienya pyrotecnica- Guera so.)","No small trees to measure in Csp1","","",""
"0434","4","EPSG:32635","606999.0","1372652.0","EPSG:32635","606996.729187829","1372651.97962098","15","51","15","58","2017","12","15","16","0","16","32","","","","","","","","EPSG:32635","606868.294032434","1372657.65941347","","EPSG:32635","606753.642978985","1372652.40445409","29826_937.jpg","2","","No small trees to measure in Csp1 , Csp2and Csp3","No shrub and bushes to measure in Rsp1 ,Rsp2  and Rsp3","No fallen dead wood in FDT1, Fdt2 andFdt3",""
"0928","1","EPSG:32635","565432.0","1181421.0","EPSG:32635","565429.544085407","1181420.83160197","9","30","9","32","2018","2","17","9","32","10","36","","","","","","","","EPSG:32635","565443.776696422","1181548.39837171","","EPSG:32635","565428.441723391","1181667.76115336","38596_107.jpg","1","","No small trees  in csp2andcsp3","No shrub and bushes  in RSP2 andRsp3","No fallen dead wood in FDT1 and FDT2",""
"0928","2","EPSG:32635","565432.0","1181921.0","EPSG:32635","565425.998522027","1181918.33222996","10","35","10","40","2018","2","17","10","41","12","14","","","","","","","","EPSG:32635","565555.556892683","1181924.38991692","","EPSG:32635","565682.24455222","1181914.45143617","38596_579.jpg","1","","No small treanes to measture  in Cp1 and Csp2and Csp3","No shurb and bushes  in Rsp1and RSP3","No fallen dead wood in FDT1 and FDT2",""
"0928","3","EPSG:32635","565932.0","1181921.0","EPSG:32635","565931.263754954","1181913.77152385","12","14","13","53","2018","2","17","13","56","15","9","","","","","","","","EPSG:32635","565933.164429155","1181795.24880698","","EPSG:32635","565941.988522912","1181673.75283871","38596_2119.jpg","","","No small trees  in Csp1","No shrubs and bushes  in Rsp1andRsp2","No fallen dead wood in FDT1 andFdt2",""
"0928","4","EPSG:32635","565932.0","1181421.0","EPSG:32635","565935.990228857","1181422.68249599","15","9","15","15","2018","2","17","15","16","16","15","","","","","","","","EPSG:32635","565814.043404922","1181424.28155711","","EPSG:32635","565669.467148099","1181428.4258618","38596_3106.jpg","1","","No small trees in Csp1","No shrub and bushes in Rsp1  and R2and RSP3","No fallen dead wood in FDT2 and FDT3",""
"0689","1","EPSG:32635","628708.0","1124592.0","EPSG:32635","628710.154650832","1124596.40664435","9","40","9","42","2018","2","22","9","43","11","5","","","","","","","","EPSG:32635","628699.416670726","1124714.55399652","Easy to access plot1","EPSG:32635","628707.117189325","1124842.97398375","51844_114.jpg","1","","No small trees in Csp1, csp2 and Csp3","No shrubs and bushes in Rsp1, Rsp2 andRsp3  Rsp2","No fallen dead wood in FDT1, FDT2AND FDT3",""
"0689","2","EPSG:32635","628708.0","1125092.0","EPSG:32635","628707.561178705","1125091.49509315","11","7","11","12","2018","2","22","11","12","12","15","","","","","","","","EPSG:32635","628830.502911651","1125085.0402185","Easy to access plot 2","EPSG:32635","628951.389355362","1125092.81501112","51844_1297.jpg","1","","No small trees  inCsp1, Csp2 and Csp3","No shrub and bushes in Rsp1, Rsp2 andRsp3","No fallen dead wood in FDT1, FDT2 and FDT3",""
