"su_su_no","ref_point_id","ref_point_description","ref_point_location_srs","ref_point_location_x","ref_point_location_y","ref_point_photo_no","ref_point_bearing","ref_point_bearing_unit_name","ref_point_photo"
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"0936","1","","","","","","","",""
"0936","2","","","","","","","",""
"0434","1","House in crop land","EPSG:32635","606494.0","1372537.0","127934","210","","29826_69.jpg"
"0928","1","Hegleg tree","EPSG:32635","565448.44385034","1181401.14788557","1","220","","38596_69.jpg"
"0689","1","Hegleg trrr","EPSG:32635","628718.833919513","1124571.37368262","1","140","","51844_69.jpg"
"0692","1","Hegleg tree","EPSG:32635","754932.546498879","1125940.57443262","1","240","","62212_69.jpg"
"0695","1","Gantor","EPSG:32636","266046.824179052","1125830.10954295","1","20","","102726_69.jpg"
"0695","2","Heglieg tree","EPSG:32636","266032.023948621","1125823.00461455","2","0","","102726_76.jpg"
"0543","1","Keter tree","EPSG:32636","350285.786720728","1354432.3092412","1","270","","122824_69.jpg"
"0960","1","Johan tree","EPSG:32636","244901.99818207","1144741.58608308","1","120","","99659_69.jpg"
"0960","2","Grantor","EPSG:32636","244885.203985339","1144731.93893976","2","240","","99659_76.jpg"
"0797","1","Keter tree","EPSG:32635","689852.268072024","1373145.40728578","95757","230","","21387_69.jpg"
"0797","2","Keter tree","EPSG:32635","689849.147733286","1373163.90903108","100025","240","","21387_76.jpg"
"0902","1","Hegleg trrr","EPSG:32635","691600.543858745","1220138.24242861","1","270","","66705_69.jpg"
"0433","1","Handel tree","EPSG:32635","564802.136579837","1372475.25822797","105947","270","","27665_69.jpg"
"0433","2","Hashab tree","EPSG:32635","564791.531174307","1372484.8313002","105938","310","","27665_76.jpg"
"0645","1","Stunt tree","EPSG:32635","754228.282613011","1201682.89357447","1","0","","56082_69.jpg"
"0978","1","Sahab tree","EPSG:32636","244667.513203861","1106714.74271705","1","270","","106643_69.jpg"
"0953","1","Group tree","EPSG:32635","607578.163427994","1143998.65383366","1","245","","45588_69.jpg"
"0953","2","Heglieg tree","EPSG:32635","607589.974280369","1144023.43706879","2","320","","45588_76.jpg"
"0622","1","Hegleig tree","EPSG:32636","350131.188584638","1239689.36742829","1","315","","117141_69.jpg"
"0622","2","","","","","","","",""
"0799","1","Sider tree","EPSG:32635","773351.075537384","1374474.25439669","1","120","","9240_69.jpg"
"0799","2","Heglieg tree","EPSG:32635","773335.856107089","1374523.29728635","2","350","","9240_76.jpg"
"0961","1","","","","","","","",""
"0961","2","","","","","","","",""
"0910","1","Heglieg tree","EPSG:32636","370688.201073439","1221020.05971632","1","180","","120029_69.jpg"
"0910","2","Heglieg tree","","","","2","300","","120029_76.jpg"
"0871","1","Add tree","EPSG:32635","648888.4171406","1258085.87835397","1","330","","74526_69.jpg"
"0613","1","Abanos,  SIM tree","EPSG:32635","628075.378186749","1238836.98230901","1","330","","77857_69.jpg"
"0613","2","Arad","EPSG:32635","628055.101872884","1238824.86903741","2","250","","77857_76.jpg"
"0522","1","Me okay tree","EPSG:32636","308777.170779774","1392904.98519887","1","100","","125986_69.jpg"
"0640","1","Hegleg","EPSG:32635","544411.043503341","1200422.3401319","1","85","","34596_651.jpg"
"0567","1","Keter tree","EPSG:32636","392565.02252266","1316605.67265337","1","340","","123687_69.jpg"
"0435","1","Helen tree","EPSG:32635","648184.106607348","1372922.31869353","1","280","","10599_92.jpg"
"0518","1","Heglieg tree","EPSG:32635","7752254.82160851","1392936.45494683","1","240","","6888_720.jpg"
