"su_su_no","sed_pop_type","sed_pop_tot","sed_pop_f","sed_pop_m"
"","21c","0","",""
"","21f","0","",""
"","21","0","",""
"","21d","0","",""
"","21c","0","",""
"","21f","0","",""
"","21","0","",""
"","21d","0","",""
"","21c","0","",""
"","21f","0","",""
"","21","0","",""
"","21d","0","",""
"0936","21c","0","",""
"0936","21f","0","",""
"0936","21","0","",""
"0936","21d","0","",""
"0434","21c","100","15","85"
"0434","21f","8","3","5"
"0434","21","0","",""
"0434","21d","20","3","17"
"0928","21c","0","",""
"0928","21f","0","",""
"0928","21","0","",""
"0928","21d","0","",""
"0689","21c","0","",""
"0689","21f","0","",""
"0689","21","0","",""
"0689","21d","0","",""
"0692","21c","0","",""
"0692","21f","0","",""
"0692","21","0","",""
"0692","21d","0","",""
"0695","21c","0","",""
"0695","21f","0","",""
"0695","21","0","",""
"0695","21d","0","",""
"0543","21c","0","",""
"0543","21f","0","",""
"0543","21","0","",""
"0543","21d","0","",""
"0960","21c","400","50","350"
"0960","21f","8","5","3"
"0960","21","0","",""
"0960","21d","15","5","10"
"0797","21c","0","",""
"0797","21f","0","",""
"0797","21","0","",""
"0797","21d","0","",""
"0902","21c","0","",""
"0902","21f","0","",""
"0902","21","0","",""
"0902","21d","0","",""
"0433","21c","500","50","450"
"0433","21f","8","5","3"
"0433","21","0","",""
"0433","21d","25","10","15"
"0645","21c","0","",""
"0645","21f","0","",""
"0645","21","0","",""
"0645","21d","0","",""
"0978","21c","0","",""
"0978","21f","0","",""
"0978","21","0","",""
"0978","21d","0","",""
"0953","21c","0","",""
"0953","21f","0","",""
"0953","21","0","",""
"0953","21d","0","",""
"0622","21c","0","",""
"0622","21f","0","",""
"0622","21","0","",""
"0622","21d","0","",""
"0799","21c","0","",""
"0799","21f","0","",""
"0799","21","0","",""
"0799","21d","0","",""
"0961","21c","0","",""
"0961","21f","0","",""
"0961","21","0","",""
"0961","21d","0","",""
"0910","21c","0","",""
"0910","21f","0","",""
"0910","21","0","",""
"0910","21d","0","",""
"0871","21c","0","",""
"0871","21f","0","",""
"0871","21","0","",""
"0871","21d","0","",""
"0613","21c","0","0","0"
"0613","21f","0","0","0"
"0613","21","0","0","0"
"0613","21d","0","0","0"
"0522","21c","150","30","120"
"0522","21f","7","4","3"
"0522","21","0","",""
"0522","21d","25","10","15"
"0640","21c","0","",""
"0640","21f","0","",""
"0640","21","0","",""
"0640","21d","0","",""
"0567","21c","0","",""
"0567","21f","0","",""
"0567","21","0","",""
"0567","21d","0","",""
"0435","21c","100","60","40"
"0435","21f","10","7","3"
"0435","21","1000","600","400"
"0435","21d","10","3","7"
"0518","21c","47","25","22"
"0518","21f","0","",""
"0518","21","0","",""
"0518","21d","0","",""
"0518","21d","0","",""
"0558","21c","500","50","450"
"0558","21f","6","4","2"
"0558","21","50","","50"
"0558","21d","50","10","40"
"0614","21c","0","0","0"
"0614","21f","0","",""
"0614","21","0","",""
"0614","21d","0","",""
"0615","21c","0","",""
"0615","21f","0","",""
"0615","21","0","",""
"0615","21d","0","",""
"0557","21c","20","12","8"
"0557","21f","7","3","4"
"0557","21","0","",""
"0557","21d","15","5","10"
"0535","21c","117","17","100"
"0535","21f","5","3","2"
"0535","21","551","351","200"
"0535","21d","15","12","3"
"0825","21c","0","",""
"0825","21f","0","",""
"0825","21","0","",""
"0825","21d","0","",""
"0594","21c","0","",""
"0594","21f","0","",""
"0594","21","0","",""
"0594","21d","0","",""
"0445","21c","80","7","73"
"0445","21f","7","4","3"
"0445","21","441","320","121"
"0445","21d","10","5","5"
"0432","21c","200","15","185"
"0432","21f","7","5","2"
"0432","21","0","",""
"0432","21d","60","10","50"
"0901","21c","0","",""
"0901","21f","0","",""
"0901","21","0","",""
"0901","21d","0","",""
"0899","21c","300","40","260"
"0899","21f","5","3","2"
"0899","21","0","",""
"0899","21d","66","18","48"
"0899","21f","1500","900","600"
"0644","21c","50","15","35"
"0644","21f","5","3","2"
"0644","21","250","150","100"
"0644","21d","20","5","15"
"0559","21c","0","",""
"0559","21f","0","",""
"0559","21","0","",""
"0559","21d","0","",""
"0956","21c","50","10","40"
"0956","21f","7","4","3"
"0956","21","0","",""
"0956","21d","0","",""
"0879","21c","0","",""
"0879","21f","0","",""
"0879","21","0","",""
"0879","21d","0","",""
"0676","21c","0","",""
"0676","21f","0","",""
"0676","21","0","",""
"0676","21d","0","",""
"0783","21c","530","228","302"
"0783","21f","0","",""
"0783","21","0","",""
"0783","21d","0","",""
"0803","21c","0","",""
"0803","21f","0","",""
"0803","21","0","",""
"0803","21d","0","",""
"0872","21c","0","",""
"0872","21f","0","",""
"0872","21","0","",""
"0872","21d","0","",""
"0641","21c","0","",""
"0641","21f","0","",""
"0641","21","0","",""
"0641","21d","0","",""
"0519","21c","0","",""
"0519","21f","0","",""
"0519","21","0","",""
"0519","21d","0","",""
"0952","21c","0","",""
"0952","21f","0","",""
"0952","21","0","",""
"0952","21d","0","",""
