"su_no","su_location_state","su_location_locality","su_location_village","su_location_gez","su_location_aez","su_location_su_altitude","su_location_su_altitude_unit_name","su_location_map_aerialphoto","su_location_sw_corner_location_srs","su_location_sw_corner_location_x","su_location_sw_corner_location_y","human_pop_ethnic_group","human_pop_years_since_settlement","human_pop_pop_dynamics","human_pop_pop_main_activity","human_pop_pop_main_activity_qualifier","human_pop_pop_secondary_activity","human_pop_pop_secondary_activity_qualifier","human_pop_nomadic_population_nomadic_hh_count","human_pop_nomadic_population_nomadic_avg_hh_size","human_pop_nomadic_population_ethnic_group_nomadic","human_pop_nomadic_population_period_in_su_from","human_pop_nomadic_population_period_in_su_to","proximity_all_weather_road","proximity_all_weather_road_unit_name","proximity_seasonal_road","proximity_seasonal_road_unit_name","proximity_settlement","proximity_settlement_unit_name","proximity_health_centre","proximity_health_centre_unit_name","proximity_veterinary_services","proximity_veterinary_services_unit_name","proximity_school","proximity_school_unit_name","proximity_food_market_place","proximity_food_market_place_unit_name","proximity_input_market_place","proximity_input_market_place_unit_name","access_to_su_starting_position_srs","access_to_su_starting_position_x","access_to_su_starting_position_y","access_to_su_access_start_time_hour","access_to_su_access_start_time_minute","access_to_su_access_end_time_hour","access_to_su_access_end_time_minute","access_to_su_arriving_at_plot","access_to_su_access_start_date_year","access_to_su_access_start_date_month","access_to_su_access_start_date_day","access_to_su_access_end_date_year","access_to_su_access_end_date_month","access_to_su_access_end_date_day","access_to_su_total_access_minutes","access_to_su_total_access_time_hour","access_to_su_total_access_time_minute","su_notes","crew_no","additional_member","add_member_name","crew_list_notes","route_sketch","route_sketch_notes","wildlife_notes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","51","","","","2018","1","28","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","13","","","","2018","1","29","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","13","","","","2018","1","29","","","","","","","","","","","","","",""
"0936","Southern Kordufan","Talody","Gardoud toro/hegerat/Angarto","SCs","3","509.0","","","EPSG:32636","244821.0","1182607.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32636","247195.568103238","1180000.20014124","10","42","10","46","","2018","4","16","2018","4","16","4","0","4","","","","","","","",""
"0434","Western Kordufan","Gebeish","Ub mosega","SBWh","2","525.0","","","EPSG:32635","606249.0","1372402.0","4","5","3","4","","2","","50","8","4","","","56.0","","1.0","","1.0","","18.0","","77.0","","1.0","","7.0","","56.0","","EPSG:32635","606494.0","1372646.0","12","30","12","36","1","2017","12","15","2017","12","15","6","0","6","","7","true","Mohammed Adam","","","","No wildlife seen in SU"
"0928","Western Kordufan","Abyei","Abuhumead","SCs","3","","","","EPSG:32635","565182.0","1181171.0","","","","","","","","100","7","4","","","41.0","","3.0","","7.0","","41.0","","41.0","","7.0","","7.0","","41.0","","EPSG:32635","565445.005314603","1181417.10003343","9","30","9","32","1","2018","2","17","2018","2","17","2","0","2","","7","false","","","","",""
"0689","Western Kordufan","Abyei","Ugaad villege","SCs","3","402.0","","","EPSG:32635","628458.0","1124342.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32635","628677.938554976","1124594.59545757","9","39","9","42","1","2018","2","22","2018","2","22","3","0","3","","7","false","","","","",""
"0692","Western Kordufan","Abyei","Bambo","SCs","3","391.0","","","EPSG:32635","754697.0","1125205.0","","","","","","","","","","","","","7.0","","2.0","","6.0","","20.0","","20.0","","6.0","","6.0","","20.0","","EPSG:32635","754960.571391332","1125985.17641229","8","15","8","21","2","2018","2","28","2018","2","28","6","0","6","","7","false","","","","",""
"0695","Southern Kordufan","Talody","Shebillo forest","SCs","3","515.0","","","EPSG:32636","265598.0","1125395.0","","","","","","","","","","","","","5.0","","1.0","","5.0","","5.0","","15.0","","5.0","","15.0","","85.0","","EPSG:32636","266025.906249965","1125804.06682757","8","35","8","50","1","2018","4","12","2018","4","12","15","0","15","","7","false","","","102726_3746.jpg","","No wildlife seen in SU No 0695"
"0543","Southern Kordufan","Abu Jibieha","Um Elkheirat","SCs","2","524.0","","","EPSG:32636","350116.0","1354167.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPSG:32636","350365.981014398","1354419.28382406","14","7","14","12","1","2018","4","25","2018","4","25","5","0","5","Easy to access plot 1","7","false","","","","",""
