"su_su_no","plot_plot_no","_subplot_lu_position","subplot_no","rectangular_sp","circular_sp","sp_lucs_no","sp_area","sp_area_unit_name"
"0434","1","1","1","true","false","1","100",""
"0434","1","2","2","false","true","1","100",""
"0434","1","3","3","false","true","1","100",""
"0434","2","1","1","true","false","1","100",""
"0434","2","2","2","true","false","1","100",""
"0434","2","3","3","false","true","2","100",""
"0434","3","1","1","true","false","1","100",""
"0434","3","2","2","true","false","1","100",""
"0434","3","3","3","true","false","1","100",""
"0434","4","1","1","true","false","1","100",""
"0434","4","2","2","true","false","1","100",""
"0434","4","3","3","true","false","1","100",""
"0928","1","1","1","true","false","1","100",""
"0928","1","2","2","true","false","1","100",""
"0928","1","3","3","true","false","1","100",""
"0928","2","1","1","true","false","1","100",""
"0928","2","2","2","true","false","1","100",""
"0928","2","3","","false","true","","",""
"0928","3","1","1","true","false","1","100",""
"0928","3","2","1","true","false","1","100",""
"0928","3","3","","false","true","","",""
"0928","4","1","1","true","false","1","100",""
"0928","4","2","1","true","false","1","100",""
"0928","4","3","3","true","false","1","100",""
"0689","1","1","1","true","false","1","100",""
"0689","1","2","2","true","false","1","100",""
"0689","1","3","3","true","false","1","100",""
"0689","2","1","1","false","true","1","100",""
"0689","2","2","2","false","true","1","100",""
"0689","2","3","3","false","true","1","100",""
"0689","3","1","1","true","false","1","100",""
"0689","3","2","2","true","false","1","100",""
"0689","3","3","3","true","false","1","100",""
"0689","4","1","1","true","false","1","100",""
"0689","4","2","2","false","true","1","100",""
"0689","4","3","3","false","true","1","100",""
"0692","2","1","1","true","false","1","100",""
"0692","2","2","2","true","false","1","100",""
"0692","2","3","","false","true","","",""
"0692","3","1","1","true","false","1","100",""
"0692","3","2","2","false","true","1","100",""
"0692","3","3","3","true","false","1","100",""
"0692","4","1","1","true","false","1","100",""
"0692","4","2","2","true","false","1","100",""
"0692","4","3","3","true","false","1","100",""
"0692","1","1","1","true","false","1","100",""
"0692","1","2","2","true","false","1","100",""
"0692","1","3","3","true","false","1","100",""
"0695","1","1","1","false","true","1","100",""
"0695","1","2","2","false","true","1","100",""
"0695","1","3","3","false","true","1","100",""
"0695","2","1","1","false","true","1","100",""
