"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent[1]","causative_agent_qualifier[1]","causative_agent[2]","causative_agent_qualifier[2]","causative_agent[3]","causative_agent_qualifier[3]","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name"
"0434","1","1","OCA","1","tree","ACA/SEN","Acacia senegal","","","","","142.0","","","","9.0","","20.0","","18.0","","0.6","","","4.0","","0.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0434","1","1","OCA","2","tree","COM/ACU","Combretum aculeatum","","","","","247.0","","","","5.0","","15.0","","11.0","","1.0","","","5.0","","1.1","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0434","2","1","OCA","1","tree","COM/ACU","Combretum aculeatum","","","","","143.0","","4.0","","","","40.0","","43.0","","0.8","","","8.0","","1.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0434","4","1","OCA","1","tree","COM/ACU","Combretum aculeatum","","","","","60.0","","","","4.0","","28.0","","29.0","","1.3","","","6.0","","2.0","","2","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0434","4","1","OCA","2","tree","COM/ACU","Combretum aculeatum","","","","","60.0","","","","3.5","","13.0","","10.0","","1.3","","","6.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0434","4","1","OCA","3","tree","COM/ACU","Combretum aculeatum","","","","","123.0","","","","8.0","","31.0","","32.0","","1.0","","","9.0","","1.1","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0434","4","1","OCA","4","tree","COM/CAP","Combretum capituliflorum","","","","","161.0","","7.0","","","","28.0","","27.0","","1.3","","","7.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0434","4","1","OCA","5","stump","COM/CAP","Combretum capituliflorum","","","","","161.0","","7.0","","","","23.0","","16.0","","0.8","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0928","1","1","FSD","1","tree","PRO/AFR","Prosopis africana","","","","","30.0","","","","1.0","","28.0","","26.0","","1.3","","","5.0","","2.0","","1","5","5","6","","","","","","5","","","","","","","","","","","","","","","",""
"0928","1","1","FSD","2","tree","ACA/GER/GER","Acacia gerrardii var. gerrardii","","","","","47.0","","","","9.0","","33.0","","30.0","","1.3","","","13.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
