SU,strata,NS,Lat,EW,Lon
475,4,N,13.64345,E,33.91780
489,4,N,13.29507,E,33.91925
490,4,N,13.29642,E,34.30267
504,4,N,12.94594,E,33.53723
505,4,N,12.94723,E,33.92071
506,4,N,12.94858,E,34.30419
507,4,N,12.94998,E,34.68766
524,4,N,12.59864,E,33.53863
525,4,N,12.59992,E,33.92217
526,4,N,12.60127,E,34.30571
527,4,N,12.60267,E,34.68925
528,4,N,12.60413,E,35.07278
529,4,N,12.60565,E,35.45632
547,4,N,12.25184,E,33.54002
548,4,N,12.25313,E,33.92362
572,4,N,11.91104,E,35.07607
754,4,N,13.46853,E,33.72683
755,4,N,13.46986,E,34.11022
768,4,N,13.12043,E,33.72826
769,4,N,13.12175,E,34.11171
770,4,N,13.12313,E,34.49515
785,4,N,12.77160,E,33.34617
786,4,N,12.77286,E,33.72968
787,4,N,12.77555,E,34.49670
788,4,N,12.77699,E,34.88021
806,4,N,12.42455,E,33.34754
807,4,N,12.42581,E,33.73111
808,4,N,12.42713,E,34.11468
809,4,N,12.42993,E,34.88182
810,4,N,12.43142,E,35.26539
828,4,N,12.07802,E,33.34890
829,4,N,12.07927,E,33.73253
832,4,N,12.08339,E,34.88344
833,4,N,12.08488,E,35.26707
1009,5,N,12.25734,E,35.07443
1023,5,N,12.77418,E,34.11319
549,4,N,12.25448,E,34.30723
550,4,N,12.25588,E,34.69083
568,4,N,11.90555,E,33.54141
569,4,N,11.90684,E,33.92508
570,4,N,11.90818,E,34.30875
571,4,N,11.90958,E,34.69241
595,4,N,11.55852,E,33.15908
596,4,N,11.55975,E,33.54281
597,4,N,11.56104,E,33.92654
598,4,N,11.56238,E,34.31027
599,4,N,11.56377,E,34.69399
625,4,N,11.21442,E,33.54420
626,4,N,11.21570,E,33.92800
627,4,N,11.21704,E,34.31179
628,4,N,11.21844,E,34.69558
653,4,N,10.86954,E,33.54560
654,4,N,10.87083,E,33.92945
655,4,N,10.87216,E,34.31331
656,4,N,10.87356,E,34.69716
679,4,N,10.52639,E,33.93091
698,4,N,10.18239,E,33.93237
699,4,N,10.18373,E,34.31635
830,4,N,12.08059,E,34.11617
831,4,N,12.08196,E,34.49980
852,4,N,11.73197,E,33.35026
853,4,N,11.73323,E,33.73396
854,4,N,11.73454,E,34.11766
855,4,N,11.73591,E,34.50135
856,4,N,11.73734,E,34.88505
882,4,N,11.38641,E,33.35163
883,4,N,11.38766,E,33.73539
884,4,N,11.38897,E,34.11915
885,4,N,11.39034,E,34.50291
886,4,N,11.39177,E,34.88666
912,4,N,11.04130,E,33.35299
913,4,N,11.04256,E,33.73681
914,4,N,11.04387,E,34.12064
915,4,N,11.04524,E,34.50446
916,4,N,11.04666,E,34.88828
