su,Strata,ns,X,ew,Y,utm_n,utm_z,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
475,4,N,13.64345,E,33.9178,36,P,599269.00 ,1508481.00 ,599519.00 ,1508731.00 ,599519.00 ,1509231.00 ,600019.00 ,1509231.00 ,600019.00 ,1508731.00 
489,4,N,13.29507,E,33.91925,36,P,599570.00 ,1469950.00 ,599820.00 ,1470200.00 ,599820.00 ,1470700.00 ,600320.00 ,1470700.00 ,600320.00 ,1470200.00 
490,4,N,13.29642,E,34.30267,36,P,641105.00 ,1470285.00 ,641355.00 ,1470535.00 ,641355.00 ,1471035.00 ,641855.00 ,1471035.00 ,641855.00 ,1470535.00 
504,4,N,12.94594,E,33.53723,36,P,558272.00 ,1431219.00 ,558522.00 ,1431469.00 ,558522.00 ,1431969.00 ,559022.00 ,1431969.00 ,559022.00 ,1431469.00 
505,4,N,12.94723,E,33.92071,36,P,599868.00 ,1431480.00 ,600118.00 ,1431730.00 ,600118.00 ,1432230.00 ,600618.00 ,1432230.00 ,600618.00 ,1431730.00 
506,4,N,12.94858,E,34.30419,36,P,641468.00 ,1431810.00 ,641718.00 ,1432060.00 ,641718.00 ,1432560.00 ,642218.00 ,1432560.00 ,642218.00 ,1432060.00 
507,4,N,12.94998,E,34.68766,36,P,683073.00 ,1432209.00 ,683323.00 ,1432459.00 ,683323.00 ,1432959.00 ,683823.00 ,1432959.00 ,683823.00 ,1432459.00 
524,4,N,12.59864,E,33.53863,36,P,558503.00 ,1392811.00 ,558753.00 ,1393061.00 ,558753.00 ,1393561.00 ,559253.00 ,1393561.00 ,559253.00 ,1393061.00 
525,4,N,12.59992,E,33.92217,36,P,600163.00 ,1393069.00 ,600413.00 ,1393319.00 ,600413.00 ,1393819.00 ,600913.00 ,1393819.00 ,600913.00 ,1393319.00 
526,4,N,12.60127,E,34.30571,36,P,641826.00 ,1393395.00 ,642076.00 ,1393645.00 ,642076.00 ,1394145.00 ,642576.00 ,1394145.00 ,642576.00 ,1393645.00 
527,4,N,12.60267,E,34.68925,36,P,683495.00 ,1393788.00 ,683745.00 ,1394038.00 ,683745.00 ,1394538.00 ,684245.00 ,1394538.00 ,684245.00 ,1394038.00 
528,4,N,12.60413,E,35.07278,36,P,725171.00 ,1394248.00 ,725421.00 ,1394498.00 ,725421.00 ,1394998.00 ,725921.00 ,1394998.00 ,725921.00 ,1394498.00 
