"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent.1.","causative_agent_qualifier.1.","causative_agent.2.","causative_agent_qualifier.2.","causative_agent.3.","causative_agent_qualifier.3.","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name","x_head","y_head","x_utm","y_utm","srs"
434,1,1,"OCA",1,"tree","ACA/SEN","Acacia senegal",NA,NA,NA,NA,142,NA,0,NA,9,NA,20,NA,18,NA,0.6,NA,NA,4,NA,0.7,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606496.097544312,1372650.23859151,606505.097544312,1372792.23859151,"EPSG:32635"
434,1,1,"OCA",2,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,247,NA,0,NA,5,NA,15,NA,11,NA,1,NA,NA,5,NA,1.1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606496.097544312,1372650.23859151,606501.097544312,1372897.23859151,"EPSG:32635"
434,2,1,"OCA",1,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,143,NA,4,NA,0,NA,40,NA,43,NA,0.8,NA,NA,8,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606499.505506087,1373150.9569569,606642.505506087,1373154.9569569,"EPSG:32635"
434,4,1,"OCA",1,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,60,NA,0,NA,4,NA,28,NA,29,NA,1.3,NA,NA,6,NA,2,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606996.729187829,1372651.97962098,606936.729187829,1372655.97962098,"EPSG:32635"
434,4,1,"OCA",2,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,60,NA,0,NA,3.5,NA,13,NA,10,NA,1.3,NA,NA,6,NA,2.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606996.729187829,1372651.97962098,606936.729187829,1372655.47962098,"EPSG:32635"
434,4,1,"OCA",3,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,123,NA,0,NA,8,NA,31,NA,32,NA,1,NA,NA,9,NA,1.1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606996.729187829,1372651.97962098,606873.729187829,1372659.97962098,"EPSG:32635"
434,4,1,"OCA",4,"tree","COM/CAP","Combretum capituliflorum",NA,NA,NA,NA,161,NA,7,NA,0,NA,28,NA,27,NA,1.3,NA,NA,7,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606996.729187829,1372651.97962098,606835.729187829,1372644.97962098,"EPSG:32635"
434,4,1,"OCA",5,"stump","COM/CAP","Combretum capituliflorum",NA,NA,NA,NA,161,NA,7,NA,0,NA,23,NA,16,NA,0.8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606996.729187829,1372651.97962098,606835.729187829,1372644.97962098,"EPSG:32635"
928,1,1,"FSD",1,"tree","PRO/AFR","Prosopis africana",NA,NA,NA,NA,30,NA,0,NA,1,NA,28,NA,26,NA,1.3,NA,NA,5,NA,2,NA,1,5,5,6,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565430.544085407,1181450.83160197,"EPSG:32635"
928,1,1,"FSD",2,"tree","ACA/GER/GER","Acacia gerrardii var. gerrardii",NA,NA,NA,NA,47,NA,0,NA,9,NA,33,NA,30,NA,1.3,NA,NA,13,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565438.544085407,1181467.83160197,"EPSG:32635"
928,1,1,"FSD",3,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,50,NA,0,NA,10,NA,15,NA,13,NA,1.3,NA,NA,6,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565439.544085407,1181470.83160197,"EPSG:32635"
928,1,1,"FSD",4,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,56,NA,0,NA,3,NA,41,NA,41,NA,1.3,NA,NA,10,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565432.544085407,1181476.83160197,"EPSG:32635"
928,1,1,"FSD",5,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,176,NA,5,NA,0,NA,17,NA,14,NA,1.3,NA,NA,7,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565424.544085407,1181596.83160197,"EPSG:32635"
928,1,1,"FSD",6,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,176,NA,5,NA,0,NA,14,NA,14,NA,1.3,NA,NA,6,NA,1.6,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565424.544085407,1181596.83160197,"EPSG:32635"
928,1,1,"FSD",7,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,179,NA,0,NA,8,NA,20,NA,18,NA,0.4,NA,NA,4,NA,0.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565437.544085407,1181599.83160197,"EPSG:32635"
928,1,1,"FSD",8,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,194,NA,7,NA,0,NA,31,NA,30,NA,0.3,NA,NA,6,NA,0.4,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565422.544085407,1181614.83160197,"EPSG:32635"
928,2,1,"FSD",1,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,18,NA,0,NA,2,NA,13,NA,10,NA,1.3,NA,NA,3,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565443.998522027,1181916.33222996,"EPSG:32635"
928,2,1,"FSD",2,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,25,NA,0,NA,8,NA,18,NA,16,NA,1,NA,NA,5,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565450.998522027,1181910.33222996,"EPSG:32635"
928,2,1,"FSD",3,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,40,NA,5,NA,0,NA,24,NA,22,NA,1.3,NA,NA,7,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565465.998522027,1181923.33222996,"EPSG:32635"
928,2,1,"FSD",4,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,44,NA,1,NA,0,NA,27,NA,26,NA,1,NA,NA,8,NA,1,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565469.998522027,1181919.33222996,"EPSG:32635"
928,2,1,"FSD",5,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,45,NA,1,NA,0,NA,0.5,NA,38,NA,39,NA,NA,16,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565470.998522027,1181919.33222996,"EPSG:32635"
928,2,1,"FSD",6,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,45,NA,1,NA,0,NA,38,NA,37,NA,1.3,NA,NA,18,NA,3,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565470.998522027,1181919.33222996,"EPSG:32635"
928,2,1,"FSD",7,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,45,NA,1,NA,0,NA,35,NA,33,NA,0.8,NA,NA,16,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565470.998522027,1181919.33222996,"EPSG:32635"
